Temperature (K),Enthalpy (J/mol)
300.0,9741.0
304.4,9815.800000000001
308.8,9890.599999999999
313.2,9965.400000000001
317.6,10040.2
322.0,10115.0
326.4,10189.8
330.8,10264.599999999999
335.2,10339.400000000001
339.6,10414.2
344.0,10489.0
348.4,10563.8
352.8,10638.599999999999
357.2,10713.400000000001
361.6,10788.2
366.0,10863.0
370.4,10937.8
374.8,11012.599999999999
379.2,11087.400000000001
383.6,11162.2
388.0,11237.0
392.4,11311.8
396.8,11386.599999999999
401.2,11461.400000000001
405.6,11536.2
410.0,11611.0
414.4,11685.8
418.8,11760.599999999999
423.20000000000005,11835.400000000001
427.6,11910.2
432.0,11985.0
436.4,12059.8
440.8,12134.599999999999
445.20000000000005,12209.400000000001
449.6,12284.2
454.0,12359.0
458.4,12433.8
462.8,12508.599999999999
467.20000000000005,12583.400000000001
471.6,12658.2
476.0,12733.0
480.4,12807.8
484.8,12882.599999999999
489.20000000000005,12957.400000000001
493.6,13032.2
498.0,13107.0
502.4,13181.8
506.8,13256.599999999999
511.20000000000005,13331.400000000001
515.6,13406.2
520.0,13481.0
524.4,13555.8
528.8,13630.599999999999
533.2,13705.400000000001
537.6,13780.2
542.0,13855.0
546.4000000000001,13929.800000000003
550.8,14004.599999999999
555.2,14079.400000000001
559.6,14154.2
564.0,14229.0
568.4000000000001,14303.800000000003
572.8,14378.599999999999
577.2,14453.400000000001
581.6,14528.2
586.0,14603.0
590.4000000000001,14677.800000000003
594.8,14752.599999999999
599.2,14827.400000000001
603.6,14902.2
608.0,14977.0
612.4000000000001,15051.800000000003
616.8,15126.599999999999
621.2,15201.400000000001
625.6,15276.2
630.0,15351.0
634.4000000000001,15425.800000000003
638.8,15500.599999999999
643.2,15575.400000000001
647.6,15650.2
652.0,15725.0
656.4000000000001,15799.800000000003
660.8,15874.599999999999
665.2,15949.400000000001
669.6,16024.2
674.0,16099.0
678.4000000000001,16173.800000000003
682.8,16248.599999999999
687.2,16323.400000000001
691.6,16398.2
696.0,16473.0
700.4000000000001,16547.800000000003
704.8,16622.6
709.2,16697.4
713.6,16772.2
718.0,16847.0
722.4000000000001,16921.800000000003
726.8,16996.6
731.2,17071.4
735.6,17146.2
740.0,17221.0
744.4000000000001,17295.800000000003
748.8,17370.6
753.2,17445.4
757.6,17520.2
762.0,17595.0
766.4000000000001,17669.800000000003
770.8,17744.6
775.2,17819.4
779.6,17894.2
784.0,17969.0
788.4000000000001,18043.800000000003
792.8000000000001,18118.600000000002
797.2,18193.4
801.6,18268.2
806.0,18343.0
810.4000000000001,18417.800000000003
814.8000000000001,18492.600000000002
819.2,18567.4
823.6,18642.2
828.0,18717.0
832.4000000000001,18791.800000000003
836.8000000000001,18866.6
841.2,18941.4
845.6,19016.2
850.0,19091.0
854.4000000000001,19165.800000000003
858.8000000000001,19240.6
863.2,19315.4
867.6,19390.2
872.0,19465.0
876.4000000000001,19539.800000000003
880.8000000000001,19614.6
885.2,19689.4
889.6,19764.2
894.0,19839.0
898.4000000000001,19913.800000000003
902.8000000000001,19988.6
907.2,20063.4
911.6,20138.2
916.0,20213.0
920.4000000000001,20287.800000000003
924.8000000000001,20362.6
929.2,20437.4
933.6,20512.2
938.0,20587.0
942.4000000000001,20661.800000000003
946.8000000000001,20736.6
951.2,20811.4
955.6,20886.2
960.0,20961.0
964.4000000000001,21035.800000000003
968.8000000000001,21110.6
973.2,21185.4
977.6,21260.2
982.0,21335.0
986.4000000000001,21409.800000000003
990.8000000000001,21484.6
995.2,21559.4
999.6,21634.2
1004.0,21709.0
1008.4000000000001,21783.800000000003
1012.8000000000001,21858.6
1017.2,21933.4
1021.6,22008.2
1026.0,22083.0
1030.4,22157.800000000003
1034.8000000000002,22232.600000000002
1039.2,22307.4
1043.6,22382.199999999997
1048.0,22457.0
1052.4,22531.800000000003
1056.8000000000002,22606.600000000002
1061.2,22681.4
1065.6,22756.199999999997
1070.0,22831.0
1074.4,22905.800000000003
1078.8000000000002,22980.600000000002
1083.2,23055.4
1087.6,23130.199999999997
1092.0,23205.0
1096.4,23279.800000000003
1100.8000000000002,23354.600000000002
1105.2,23429.4
1109.6,23504.199999999997
1114.0,23579.0
1118.4,23653.800000000003
1122.8000000000002,23728.600000000002
1127.2,23803.4
1131.6,23878.199999999997
1136.0,23953.0
1140.4,24027.800000000003
1144.8000000000002,24102.600000000002
1149.2,24177.4
1153.6,24252.2
1158.0,24327.000000000004
1162.4,24401.80000000001
1166.8000000000002,24476.600000000024
1171.2,24551.400000000052
1175.6,24626.20000000012
1180.0,24701.0000000003
1184.4,24775.800000000716
1188.8000000000002,24850.60000000173
1193.2,24925.400000004163
1197.6,25000.200000010034
1202.0,25075.000000024196
1206.4,25149.800000058334
1210.8000000000002,25224.600000140643
1215.2,25299.40000033907
1219.6,25374.20000081746
1224.0,25449.000001970817
1228.4,25523.800004751443
1232.8000000000002,25598.600011455244
1237.2,25673.400027617445
1241.6,25748.20006658289
1246.0,25823.00016052467
1250.4,25897.800387008872
1254.8000000000002,25972.60093303954
1259.2,26047.40224946451
1263.6,26122.205423231993
1268.0,26197.013074860653
1272.4,26271.83152213254
1276.8000000000002,26346.67599643753
1281.2,26421.583218262924
1285.6000000000001,26496.641711986722
1290.0,26572.064871748793
1294.4,26648.36699940306
1298.8000000000002,26726.7870374899
1303.2,26810.306219338017
1307.6000000000001,26906.078786005317
1312.0,27031.16135337291
1316.4,27225.583183012117
1320.8000000000002,27579.78033476723
1325.2,28280.06292123042
1329.6000000000001,29631.325842106962
1334.0,31880.693149919352
1338.4,34725.93305035307
1342.8000000000002,37269.72329111037
1347.2,38935.71231566914
1351.6000000000001,39833.04819692571
1356.0,40284.94839522579
1360.4,40523.08354683546
1364.8000000000002,40666.88220533183
1369.2,40770.521191463224
1373.6000000000001,40857.32120289678
1378.0,40937.10517966648
1382.4,41013.97358129416
1386.8000000000002,41089.63171403033
1391.2,41164.78768639744
1395.6000000000001,41239.73534342888
1400.0,41314.59659003618
1404.4,41389.42199425328
1408.8000000000002,41464.23253151784
1413.2,41539.03690220017
1417.6000000000001,41613.83871508539
1422.0,41688.63946703934
1426.4,41763.43977893703
1430.8000000000002,41838.23990830686
1435.2,41913.039961967246
1439.6000000000001,41987.839984224665
1444.0,42062.63999345666
1448.4,42137.43999728594
1452.8000000000002,42212.239998874255
1457.2,42287.03999953306
1461.6000000000001,42361.839999806325
1466.0,42436.639999919666
1470.4,42511.43999996668
1474.8000000000002,42586.23999998618
1479.2,42661.03999999427
1483.6000000000001,42735.839999997625
1488.0,42810.63999999901
1492.4,42885.439999999595
1496.8000000000002,42960.23999999983
1501.2,43035.03999999993
1505.6000000000001,43109.839999999975
1510.0,43184.639999999985
1514.4,43259.439999999995
1518.8000000000002,43334.24
1523.2,43409.04
1527.6000000000001,43483.840000000004
1532.0,43558.64
1536.4,43633.44
1540.8000000000002,43708.240000000005
1545.2,43783.04
1549.6000000000001,43857.840000000004
1554.0,43932.64
1558.4,44007.44
1562.8000000000002,44082.240000000005
1567.2,44157.04
1571.6000000000001,44231.840000000004
1576.0,44306.64
1580.4,44381.44
1584.8000000000002,44456.240000000005
1589.2,44531.04
